Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season,ndvi,evi,ndwi,gndvi,savi,msavi,target
5,0,6,73,370,407,83,86,4,0,3,1,0,6,98,17,1,0.07717410196702638,2.7466288917169406,8.596054956404306,0.08455969862699592,0.11575350906084683,4010.219482421875,0.0
5,0,6,73,508,450,81,91,4,0,3,1,1,3,85,19,1,0.07147065337971581,-0.44960485577843134,8.347582879625595,0.08357246802772625,0.10719914207114511,4132.375,0.0
5,0,6,73,218,614,91,70,4,0,3,1,0,3,91,17,1,0.21711085579662043,-5.082280477939711,9.77858897104731,0.21277581616400656,0.32564147412167,3910.991943359375,0.0
5,0,6,75,207,537,86,57,0,4,3,1,1,3,85,20,1,0.08975040624969385,-0.7671528061537728,12.141945840682386,0.09840303736276701,0.13461316062174383,2856.9140625,0.0
5,0,6,75,508,557,99,53,4,0,3,1,0,4,82,19,1,0.12020902206026629,-1.4668569936441591,11.557506878068411,0.12914062491180928,0.1802977365212793,3087.3603515625,0.0
5,0,6,75,209,471,88,88,4,0,3,1,1,4,91,19,1,0.08761910652487113,-2.0209916676496094,8.62272407408839,0.10608684352064805,0.1314200531523411,4066.396728515625,0.0
5,0,6,75,355,307,88,67,0,4,3,1,1,6,99,15,1,0.17714699588402513,1.5788443966882557,10.258160976568295,0.19225416536029868,0.2656996980535177,3671.97412109375,0.0
5,0,6,75,446,517,87,60,4,0,3,1,1,6,93,16,1,0.18444828074043837,-8.576563762162486,10.570454916652688,0.18691636302970166,0.2766498984244101,3542.81787109375,0.0
5,0,6,150,528,88,93,93,4,0,3,1,0,6,95,20,1,6.3259949299821265,76.07742123110846,11.64839364859035,1.0906475864819631,9.488061889068986,2633.78515625,0.0
5,0,6,93,194,494,80,83,0,4,3,1,1,3,98,20,1,0.09319400414044562,-1.1024701201029812,10.311135706754218,0.11401782692349462,0.13978008808418613,3419.7666015625,0.0
5,0,6,93,410,616,100,95,4,0,3,1,1,4,91,19,1,0.08610559537606098,0.11706031402110326,9.166061507136833,0.10571493798435244,0.12914943018675312,3824.044921875,0.0
5,0,6,93,507,102,91,60,4,0,3,1,1,4,82,19,1,0.007130201052967696,-0.09882304552000942,3.9173922582482437,0.02910884441556839,0.010694986452951954,8458.9990234375,0.0
5,0,6,93,279,90,81,92,0,4,3,1,1,6,83,15,1,0.07930382731262597,0.8880299701247951,12.994738168541055,0.11340675431549309,0.1189443225740852,2707.87353515625,0.0
5,0,6,93,211,68,92,61,4,0,3,1,1,3,91,16,1,2.43238857701494,33.53953822277604,12.506836565038249,0.6939786793198597,3.6481839140243557,2644.060302734375,0.0
5,0,6,93,202,517,83,75,0,4,3,1,1,5,83,20,1,0.14881999983613445,-1.544763541586992,10.898022656302135,0.14992632268881412,0.22321128489246425,3330.87353515625,0.0
5,0,6,93,242,102,99,71,0,4,3,1,1,3,96,18,1,0.01298352593207378,-0.16910306554570173,3.76384719383488,0.02652871294702428,0.019474736719968955,8791.875,0.0
5,0,6,93,242,616,97,60,0,4,3,1,1,5,96,18,1,0.093065666093329,-2.3281162175929153,10.372858183441622,0.10962637484608344,0.13958754121999592,3386.318603515625,2.0
5,0,6,93,200,496,98,57,0,4,3,1,0,4,84,16,1,0.10465397595048309,-4.750387850200107,12.412562303657031,0.11944957457033563,0.15696644722814307,2858.642333984375,0.0
5,0,6,93,468,73,95,74,4,0,3,1,1,4,97,17,1,0.1934319711128763,-0.9649623602743282,9.763940056163886,0.17854688137423502,0.29012600888082934,3837.310302734375,0.0
5,0,6,93,202,369,93,59,4,0,3,1,0,4,88,15,1,0.08317049102099781,-0.6784039299388247,10.530436457274096,0.0842756651249462,0.1247455909520806,3285.6884765625,0.0
5,0,6,93,507,577,87,86,0,4,3,1,0,4,81,16,1,0.06569762778006406,-1.6245333351421383,9.712857095416513,0.0851973186997307,0.09853921783253805,3548.08154296875,3.0
5,0,6,93,468,264,91,64,4,0,3,1,1,4,80,18,1,0.10415669345261802,-0.5020263572700212,8.646805945272252,0.11970790131648228,0.15622474002532466,4107.53955078125,0.0
5,0,6,93,545,515,88,84,0,4,3,1,0,6,94,19,1,0.11299078468249166,-1.3127670517088275,10.244944023623074,0.11995774513123234,0.16947290369987414,3465.5302734375,1.0
5,0,6,93,318,92,85,82,0,4,3,1,1,5,88,18,1,0.26755214914807784,1.1082701319863804,11.127769453096013,0.29685935036844563,0.4012941285555585,3640.90087890625,0.0
5,0,6,93,220,496,97,60,0,4,3,1,1,5,94,19,1,0.14256918042939054,0.8065476852197511,11.115028227995431,0.1447054940840593,0.21383559655482648,3258.480224609375,0.0
5,0,6,93,564,79,81,66,4,0,3,1,0,6,82,15,1,0.013757174154408431,-0.16218282611990062,4.734830820417788,0.028759142612364303,0.020635018731172544,6996.5439453125,0.0
5,0,6,93,221,429,87,90,4,0,3,1,0,6,86,19,1,0.10862022933554381,-0.9421315304326993,9.877859296033286,0.10878733034845384,0.16291794782782537,3557.4541015625,0.0
5,0,6,73,242,471,93,55,4,0,3,1,1,5,99,16,1,0.06833403369625383,2.896865935532696,5.987885057633881,0.0842830871000258,0.10249635674173134,5790.44189453125,0.0
5,0,6,73,213,305,85,72,4,0,3,1,0,3,86,19,1,0.21389933052195786,1.7658086446792114,10.666466552473318,0.2305206064119522,0.3208227314815703,3615.381591796875,2.0
5,0,6,73,217,96,89,50,0,4,3,1,1,4,99,17,1,0.23392081404389806,-3.1313260520774047,9.484579729272973,0.2135999878212376,0.35085377522685296,3965.14111328125,0.0
5,0,6,73,207,595,87,84,4,0,3,1,1,4,88,16,1,0.20147421928044815,-0.5995936388655886,9.61843742331537,0.19051549666290554,0.3021886175324983,3907.27978515625,0.0
5,0,6,73,370,71,96,83,4,0,3,1,0,4,96,15,1,0.20763743155372083,1.200026917547235,10.757663962727396,0.226441794126938,0.31143049202238776,3579.319580078125,0.0
5,0,6,27,564,614,91,89,0,4,3,1,1,4,83,16,1,0.21471373598900023,-1.228261246963547,10.01639654177367,0.21355619461043965,0.32204550107656843,3821.04345703125,0.0
5,0,6,27,409,69,96,57,4,0,3,1,0,5,84,17,1,0.13571585772904166,-4.966710368277626,12.16533572853099,0.15094707654871528,0.2035557166509228,3023.290771484375,0.0
5,0,6,27,243,614,92,96,0,4,3,1,0,3,94,15,1,0.19881064108472069,-2.247017505878615,9.774582095210285,0.19456984180864173,0.29819323040051665,3851.246826171875,0.0
5,0,6,27,218,517,98,67,4,0,3,1,1,6,97,18,1,0.10968813869154849,-1.1885218754340854,12.206838669155491,0.12162723712904173,0.16451721940483116,2916.70751953125,0.0
5,0,6,27,196,106,91,51,0,4,3,1,0,3,88,17,1,0.18150363923938734,1.0079332063079167,10.975024865204455,0.20024013252983694,0.27223266779647093,3439.328125,0.0
5,0,6,27,507,535,95,63,0,4,3,1,1,4,84,15,1,0.20208640881139453,-3.3741176958263606,10.981030171849845,0.2001433154486629,0.30310376917763476,3435.5576171875,0.0
5,0,6,73,392,450,84,70,4,0,3,1,0,6,95,19,1,0.09829387985216373,-0.7520807814680488,9.013410981581217,0.10187682991622642,0.1474305690576381,3878.4853515625,0.0
5,0,6,73,201,429,95,52,4,0,3,1,0,4,90,16,1,0.14004800666657352,-1.528815227579269,9.803877304561697,0.1459251614425569,0.2100561841766477,3691.83349609375,0.0
5,0,6,73,468,517,85,86,4,0,3,1,1,5,97,15,1,0.08747383859133331,-0.7624500053173395,12.277258792616953,0.1007468333939392,0.1311986142796506,2837.6103515625,2.0
5,0,6,73,213,87,90,93,0,4,3,1,1,6,100,16,1,4.803963347946644,-58.41541671714335,4.567401968886891,0.35219428186876583,7.205679810477577,6619.85302734375,3.0
5,0,6,75,198,287,96,56,0,4,3,1,0,6,97,19,1,0.15875384178408813,-0.8553496470357753,9.794232628270615,0.15794637668838626,0.2381127134547811,3730.60009765625,3.0
5,0,6,75,428,90,93,78,0,4,3,1,0,6,85,15,1,0.4522464395367926,3.5321602112061523,13.025243482673979,0.11382501487921869,0.6782989325656761,2703.81103515625,0.0
5,0,6,75,279,429,85,72,0,4,3,1,0,4,99,18,1,6.47677795017518,153.79894408530862,11.63638223365736,0.4403368494889649,9.714276839203302,2757.69384765625,0.0
5,0,6,75,507,517,90,66,0,4,3,1,1,4,91,17,1,0.12105725864276028,-0.9704479152804202,11.37213388379148,0.1271928260054777,0.18157012265732117,3133.559814453125,0.0
5,0,6,75,190,305,91,84,4,0,3,1,0,6,83,15,1,0.08096035363558435,-2.740094051060676,6.15436098896445,0.09615664316713907,0.12143484366653536,5693.78271484375,0.0
5,0,6,75,508,450,92,85,4,0,3,1,1,5,80,19,1,0.08818701872849735,-0.5276205977385415,9.008346156430264,0.09878532665157373,0.13227106684894024,3942.935791015625,0.0
5,0,6,75,446,68,83,84,4,0,3,1,1,6,80,15,1,15.363640299777265,92.73238382894081,1.4510061092930182,15.036436295031587,23.04272544946052,1846.3883056640625,0.0
5,0,6,25,207,577,86,84,4,0,3,1,0,3,98,16,1,0.032547238687349704,-1.6830376279075647,7.481242917727257,0.05868328094870241,0.04881811926254486,4521.2802734375,2.0
5,0,6,25,545,71,81,74,4,0,3,1,0,4,90,20,1,0.3020275486375017,2.2206195001994296,10.717061765830302,0.2331486054156439,0.45300120603508515,3612.59423828125,0.0
5,0,6,25,215,385,85,75,4,0,3,1,1,5,80,15,1,0.15959717205470142,-3.5181535569797306,10.253344090110199,0.16318227317520684,0.23937685293445465,3581.724609375,0.0
5,0,6,25,392,77,85,98,4,0,3,1,0,6,90,18,1,0.18835658137948572,-2.4334754959732794,3.7111049875542035,0.023903047491756237,0.2825269130126221,8898.267578125,0.0
5,0,6,25,546,66,97,81,0,4,3,1,1,6,92,15,1,10.827134348776104,125.2970879494857,13.128982339907942,0.3557891183107549,16.23908360214497,2416.5537109375,2.0
5,0,6,25,242,387,99,57,4,0,3,1,0,4,82,17,1,0.4861342604038117,4.702320944554138,7.301572460230653,0.04002220204166285,0.7291322790501567,4964.2734375,0.0
5,0,12,39,487,577,87,82,4,0,3,1,1,6,81,15,1,0.04114015416536841,-1.7573501653371935,8.025993665005902,0.06403133166434072,0.06170650216763773,4225.63525390625,0.0
5,0,12,39,335,576,87,55,0,4,3,1,1,6,89,20,1,0.2116642372867665,-1.8384945519987124,9.846570992941665,0.20772466221873376,0.3174719638387851,3860.577392578125,1.0
5,0,12,39,487,96,87,65,0,4,3,1,1,4,90,16,1,0.23383540577620915,inf,9.784213240983764,0.22417019363624738,0.35072619392970594,3942.07470703125,0.0
5,0,6,25,392,535,87,62,4,0,3,1,0,6,80,15,1,0.21686528845772485,-0.5229604920141935,9.68917444996738,0.22101988571756642,0.3252734905540187,3961.89892578125,0.0
5,0,6,25,203,471,80,100,4,0,3,1,0,6,83,18,1,0.20232113281169034,0.9810753519655547,10.032103374604343,0.20319955629038727,0.30345812281458184,3776.177734375,0.0
5,0,6,125,299,307,84,70,4,0,3,1,0,5,88,20,1,0.11783919972662539,0.986931944291275,9.97616019103359,0.13703877523608698,0.17674542058009932,3603.916015625,0.0
5,0,6,125,213,305,92,78,0,4,3,1,0,4,88,19,1,0.2171850328940172,1.9747965905687561,10.18022092674079,0.2300031622379786,0.3257519728491179,3788.394287109375,0.0
5,0,6,125,215,88,99,100,4,0,3,1,0,5,94,16,1,0.40522337819168136,10.03937984342599,12.260561666431402,0.07990812169144189,0.6077761998762615,2792.380126953125,0.0
2,0,6,130,562,346,66,94,6,1,0,2,0,5,43,15,1,0.3150305890796422,2.694099156039333,12.044319874607252,0.3456670595174634,0.4157975699043917,2535.502197265625,0.0
2,0,6,130,390,382,65,101,1,6,1,2,0,2,48,13,1,0.11162641393159453,-2.4011169653874105,12.34422802708214,0.13278386989923688,0.16742404613298104,2890.4609375,0.0
2,0,6,130,263,553,62,87,6,1,2,0,0,4,56,13,1,0.07325018618595476,inf,12.885201674904524,0.10276418064400597,0.10986479741710063,2707.36865234375,0.0
2,0,6,130,408,38,89,67,1,6,0,0,0,6,47,14,1,0.10310966076115026,-0.04401131028926027,4.225939377815594,0.3151649402100515,0.035211903455561716,1769.52099609375,0.0
2,0,6,130,508,511,72,99,6,1,0,2,0,2,47,11,1,0.11092489268336936,-1.4158616784501645,12.908643220904267,0.13134397994396468,0.11313241507492092,1882.685791015625,0.0
2,0,6,130,392,401,66,102,1,6,1,2,1,4,53,13,1,0.07933011985325075,-1.679136087196319,13.129898315134314,0.10443781272032485,0.1189836489600874,2664.49853515625,0.0
2,0,6,130,429,366,64,90,6,1,2,2,1,3,53,14,1,0.30419330318176035,3.034497764837339,13.512059567020488,0.07854939334007785,0.456242369002542,2515.390380859375,0.0
2,0,6,130,203,382,82,116,6,1,0,0,1,3,50,13,1,0.07683188104330109,-1.7708462739413409,11.205835428100166,0.10209271286940523,0.11523815932512341,3114.185302734375,0.0
2,0,6,130,391,38,77,91,1,6,2,2,0,3,58,13,1,0.062282796064092094,-1.6467140684635617,5.632931792242759,0.07556313057204991,0.09342013807367429,6109.927734375,0.0
2,0,6,130,297,283,81,101,6,1,0,2,1,3,54,15,1,0.10451775058410286,-0.9076190711238548,11.471090810776202,0.12713322627764526,0.15676307062228073,3103.65576171875,0.0
2,0,6,130,544,591,89,108,6,1,2,2,1,3,55,15,1,0.08093993853554354,-3.85093586027592,13.39339503925366,0.10914367510242436,0.12139786246472202,2616.09716796875,0.0
2,0,6,130,390,30,67,81,1,6,1,2,1,5,44,13,1,0.07820406924105479,inf,13.065228066337566,0.1013365256766336,0.11729467532822466,2665.221923828125,0.0
2,0,6,130,170,48,76,109,1,6,2,0,1,3,43,12,1,0.08151161733221342,inf,13.899415461664734,0.10741247036936016,0.12225511931082844,2529.80078125,0.0
2,0,6,130,205,65,79,68,6,1,1,2,1,5,55,15,1,0.05768631441360073,0.8238261250559868,9.486879340809963,0.09814282201107288,0.08652342356724925,3671.99658203125,0.0
2,0,6,130,167,63,86,91,6,1,1,2,0,2,41,11,1,0.07600838021538152,0.9151907061141613,9.807559137509203,0.1130961733909463,0.11400424134759465,3606.795654296875,1.0
2,0,6,130,279,40,60,110,1,6,2,2,0,2,51,14,1,0.44888764925129554,1.5134624921762536,8.386691095168466,0.4468229610352883,0.6732862589554403,5311.65673828125,0.0
2,0,6,130,182,467,73,65,6,1,2,0,1,2,54,14,1,0.10823264603933436,-1.1385354334037632,13.29419590071602,0.1260707097420581,0.16233294021226155,2684.226806640625,0.0
2,0,6,130,167,283,69,107,6,1,1,2,0,2,40,11,1,0.13729934445816877,1.4559792492083448,11.718472654475198,0.16919062191948767,0.20593130528819545,3160.04248046875,0.0
2,0,6,130,172,382,71,118,6,1,0,2,0,4,47,11,1,0.31330977235704494,2.379748564545296,10.896055571859353,0.32655749117182653,0.46992575620469207,3849.76220703125,0.0
2,0,6,75,178,382,73,62,6,1,2,0,1,4,59,10,1,0.09943394356739073,-1.2565007036994738,13.222519291496448,0.12210878661452751,0.1491361757093014,2680.22314453125,0.0
2,0,6,75,526,303,89,94,6,1,1,2,1,6,43,14,1,0.09555105506226604,5.844612847615567,12.115639797239176,0.1252237288417253,0.1433136511244086,2934.2939453125,0.0
2,0,6,27,564,325,86,74,6,1,2,0,1,5,56,10,1,0.16196278779281492,1.5045997213342295,10.740409827472808,0.1745487665547551,0.24292419012235886,3441.30224609375,0.0
2,0,6,73,279,262,75,73,1,6,1,0,0,3,46,13,1,0.11312938931268235,inf,9.685566272431627,0.13347963336060314,0.1696815921801442,3704.95947265625,0.0
2,0,6,88,170,50,67,97,1,6,1,0,0,4,60,13,1,0.1600492561680928,-1.8501845305981777,10.79038639322705,0.17350727136204208,0.2400541451934176,3427.235595703125,0.0
2,0,6,88,446,612,82,101,6,1,0,0,1,6,42,14,1,0.16046687065611775,-2.8812328251769848,11.610542932387071,0.17914170287026196,0.24067920351786062,3202.546875,0.0
2,0,6,88,242,383,87,93,6,1,0,0,0,3,43,13,1,0.1234695513016195,-0.6942558916057614,11.193450192885281,0.1444514107770376,0.18518865598100462,3227.865966796875,0.0
2,0,6,88,447,365,69,82,6,1,1,0,1,3,42,11,1,0.20116069467839404,1.5188186779553559,12.097143236320841,0.20843956169054711,0.30171322175863957,3152.57470703125,0.0
2,0,6,88,370,574,88,86,6,1,0,0,1,6,44,10,1,0.22115777887039337,13.498427231636482,11.032112825265795,0.23311084445471578,0.33170874336946304,3521.23779296875,0.0
2,0,6,25,355,55,79,114,6,1,0,0,0,5,56,14,1,0.01212110788526168,-0.008227865260347685,3.4470698085511415,0.027833847017000892,0.01818118715922895,9603.2353515625,0.0
2,0,6,25,201,32,75,66,1,6,0,2,1,2,43,11,1,0.08924368710167077,-1.501428383139482,8.907831153833005,0.10272769497697584,0.13385644723768947,3923.131103515625,0.0
2,0,6,5,218,612,76,86,6,1,1,0,0,6,51,15,1,0.03909025045141504,0.5929570633454389,13.741003919575668,0.07354395093226106,0.05862947413315239,2464.638916015625,0.0
2,0,6,5,218,365,75,72,6,1,1,0,1,3,44,13,1,0.10468802648492262,-1.2657215392694703,13.358938378958307,0.12588566056345116,0.15701630666591493,2659.759521484375,0.0
2,0,6,5,355,53,78,106,6,1,0,0,0,3,55,10,1,0.06802441033878995,-0.752761937438656,10.58638552162991,0.0907457240537259,0.10202859451725498,3272.190673828125,0.0
2,0,6,5,408,383,83,115,1,6,0,2,1,2,44,14,1,10.1328005119591,137.12166642543875,14.485139666835313,0.03985357313005606,15.197578812983197,2262.64111328125,0.0
2,0,6,5,392,593,83,66,6,1,2,2,0,2,57,10,1,0.5363157747475089,8.168494593718924,13.152652671044734,0.09440119656106141,0.8043880031582442,2647.759765625,0.0
2,0,6,5,506,551,67,110,1,6,0,2,0,4,42,14,1,10.465480776120366,121.29077710851998,5.010559051352235,6.802514627456839,15.69682638775899,2757.111083984375,0.0
2,0,6,5,546,26,85,82,1,6,2,2,1,6,47,11,1,0.16214126142704766,inf,14.87859773397762,0.07681684710846616,0.2431835111791646,2279.481689453125,0.0
2,0,6,5,371,30,90,113,6,1,0,0,0,5,51,14,1,0.05454840279400547,-0.03373696561031928,14.071130694291796,0.08030815671851661,0.08181407921841935,2421.7763671875,1.0
2,0,6,5,371,593,71,94,1,6,1,2,0,5,45,15,1,0.09075529357370993,-3.2587016307198904,12.546230141540349,0.11882068993458111,0.13612024162330308,2818.9208984375,1.0
2,0,6,5,466,612,87,105,6,1,1,2,1,3,58,12,1,0.10055933048538478,-3.8882483324455426,12.171006980570686,0.12655703716153235,0.15082522044311422,2919.799560546875,0.0
2,0,6,5,429,55,71,96,6,1,1,2,0,5,54,13,1,0.018645277339201106,-0.46612968253874687,6.411080483327085,0.04122971676287041,0.02796656727187335,5202.99365234375,0.0
2,0,6,5,207,423,82,116,1,6,1,2,0,4,57,11,1,0.10075209173164151,-3.97787547863326,13.18662751863431,0.12552693512035146,0.15111329907848792,2692.762939453125,0.0
2,0,6,5,335,383,76,101,1,6,2,2,1,5,55,12,1,0.1323974610042721,-12.096837726018581,11.465934165133183,0.15554716944660768,0.1985789576953904,3172.863037109375,3.0
2,0,6,5,217,55,77,68,1,6,1,0,1,3,42,11,1,0.018617984521859553,inf,6.353075479814758,0.04150317556183081,0.02792564411250988,5254.4306640625,3.0
2,0,6,5,335,572,74,81,6,1,0,0,1,5,59,14,1,0.11977586717737386,1.5771653750692232,14.366081222453657,0.09044916782354051,0.17964418031180965,2413.163330078125,0.0
2,0,6,5,280,551,65,114,6,1,1,0,1,6,54,15,1,5.86798417297642,97.58227166594996,7.324018879934906,2.2850224991077615,8.801278199077633,3511.087890625,2.0
2,0,6,5,187,401,85,110,6,1,0,2,1,4,41,15,1,0.17862926739782356,-0.19782771119576592,12.088323316758196,0.19079828517887704,0.26791967493129226,3124.533935546875,0.0
2,0,6,5,506,55,71,113,6,1,1,0,1,4,58,10,1,0.3132334761709925,7.737444298958389,8.248007295235864,0.05465494051480082,0.4698214441924647,4082.506103515625,0.0
2,0,6,5,185,47,64,118,1,6,0,0,1,6,44,11,1,0.8696561010127077,inf,13.738786472669625,0.07406666155297212,1.3043440126432504,2467.758544921875,0.0
2,0,6,5,356,346,77,103,1,6,0,0,0,3,47,10,1,0.100383553874809,-0.848417909513734,12.105403023400402,0.12950075081848958,0.15056181197154794,2949.94970703125,0.0
2,0,6,5,194,446,75,87,1,6,2,2,1,4,49,12,1,0.17478301420699985,-2.1217409646107486,12.516725256941934,0.18364564105532116,0.26214958427203283,2983.09912109375,0.0
2,0,6,5,188,401,67,100,1,6,1,0,1,4,54,10,1,0.1145688950146088,-4.933906063502974,13.207893257334302,0.13703329925704605,0.17183641287925475,2721.270263671875,0.0
2,0,6,5,427,403,84,82,6,1,2,0,1,3,50,15,1,1.3197011074240628,21.297535222923443,13.307104699632317,0.07643924858909751,1.9793477460713536,2560.237060546875,0.0
2,0,6,5,182,55,89,76,1,6,2,2,1,6,50,13,1,0.06046161137893954,inf,6.0558307715176465,0.03796542272768285,0.09068822570634341,5499.00927734375,0.0
2,0,6,5,196,425,85,105,6,1,2,0,1,4,54,11,1,5.432767419323762,67.91976731966191,14.147394085909006,0.05031938497280036,8.14826835197833,2346.601318359375,0.0
2,0,6,5,354,553,79,111,1,6,1,2,0,4,47,11,1,0.0809043101877027,inf,13.640742524670516,0.08802597356009854,0.12134413912657015,2522.95654296875,0.0
2,0,6,5,262,344,81,71,6,1,1,0,0,5,48,12,1,0.08677547526750311,-0.41544774172304016,14.185787846840928,0.11205617276271103,0.13014960863653666,2475.3955078125,0.0
2,0,6,5,528,401,90,60,1,6,0,0,1,4,48,11,1,0.1211539428218071,-1.5904950200241104,13.21258899893844,0.1409984691966694,0.1817129588949106,2726.30517578125,1.0
2,0,6,5,546,50,70,84,6,1,0,2,1,3,56,15,1,0.10653755386261515,inf,12.132621700991683,0.13489429152197815,0.15979208883024393,2965.73681640625,0.0
2,0,6,5,261,44,83,118,6,1,1,0,0,3,59,15,1,0.0354186059636313,-0.30880505309675743,6.784146742657495,0.05488344008553795,0.05312515224215066,4997.1240234375,1.0
2,0,6,5,574,446,84,77,6,1,1,0,0,5,41,11,1,0.08870911079588677,inf,14.265115951809708,0.11541303203230037,0.13304972088289502,2470.188720703125,0.0
2,0,6,5,178,401,68,112,1,6,2,2,1,3,57,14,1,0.1061632639363072,inf,13.740149377074513,0.12970410833505444,0.15922890154779093,2606.447998046875,1.0
2,0,6,5,182,551,85,96,6,1,0,0,1,4,60,14,1,0.03516891389144757,-0.2506860814999332,6.237537517303195,0.04403013415289797,0.0527508949043469,5384.65771484375,0.0
